Country of domicile,ISO-3,Year,Number of Undergraduate Students,GDP per Capita,Tertiary Education Enrollment,Tertiary Expenditure,GINI,HDI,Distance,Population,Students normalised
Cyprus,CYP,2014,110,33207.7707129666,53.104351,20.80751,35.6,0.862,3188,1152297,0.00174781328077744
Cyprus,CYP,2015,120,34472.2985065115,60.1012306,20.70407,34.0,0.865,3188,1160987,0.00173559221593351
Cyprus,CYP,2016,120,36523.7332079973,67.1711121,20.78145,32.9,0.873,3188,1170189,0.00172279862483753
Cyprus,CYP,2017,140,38050.8577356233,75.9408112,,31.4,0.878,3188,1179685,0.00170977845780865
Cyprus,CYP,2018,130,39559.4879646749,81.3370819,,32.7,0.885,3188,1189262,0.0016968506519169
Cyprus,CYP,2019,145,40226.8094909879,88.4853287,,,0.887,3188,1198574,0.00168450174957908
Czech Republic,CZE,2014,35,34386.7049143977,65.6240997314453,20.03148,25.9,0.888,1017,10525347.0,0.000191347610677349
Czech Republic,CZE,2015,40,36168.4185553861,64.4816284179688,13.32785,25.9,0.891,1017,10546059.0,0.000191066634465064
Czech Republic,CZE,2016,45,37014.9592935816,63.7481307983398,12.59606,25.4,0.893,1017,10566332.0,0.000190794686367985
Czech Republic,CZE,2017,55,38824.8879170919,64.0786895751953,,24.9,0.896,1017,10594438.0,0.000190382916016876
Czech Republic,CZE,2018,70,39932.992193117,63.7687683105469,,25.0,0.898,1017,10629928.0,0.000189841361107996
Czech Republic,CZE,2019,75,40696.3104860197,65.5869827270508,,,0.9,1017,10671870.0,0.000189188961259835
Denmark,DNK,2014,20,52048.3354927846,81.0290832519531,30.68284,28.4,0.935,935,5643475.0,0.000356872317145021
Denmark,DNK,2015,20,52892.6460290247,82.1294937133789,,28.2,0.933,935,5683483.0,0.000354536118081113
Denmark,DNK,2016,25,54185.0084787703,81.0567474365234,,28.2,0.935,935,5728010.0,0.000351954692816528
Denmark,DNK,2017,30,55356.680780178,80.6160202026367,,28.7,0.936,935,5764980.0,0.000349871118373351
Denmark,DNK,2018,30,56281.2888680368,81.183349609375,,28.2,0.939,935,5793636.0,0.000348313218158683
Denmark,DNK,2019,30,57678.0988930692,81.8397598266602,,,0.94,935,5814422.0,0.000347240018010389
Ecuador,ECU,2014,10,12078.4743866036,,40.37434,45.0,0.756,9210,15951832.0,0.000126255090951309
Ecuador,ECU,2015,10,11896.3751614302,44.8922309875488,43.51374,46.0,0.764,9210,16212022.0,0.000124290480237444
Ecuador,ECU,2016,15,11551.6159731776,,,45.0,0.758,9210,16491116.0,0.000122247639274383
Ecuador,ECU,2017,10,11617.9122190573,,,44.7,0.76,9210,16785356.0,0.000120164266995588
Ecuador,ECU,2018,10,11561.747853143,47.597770690918,,45.4,0.762,9210,17084359.0,0.000118119737474493
Ecuador,ECU,2019,5,11370.603299072,47.9452285766602,,45.7,0.759,9210,17373657.0,0.000116210421329257
Egypt,EGY,2014,15,10353.6668042394,,,,0.685,3475,90424668,0.000022272683378832
Egypt,EGY,2015,20,10570.4452319757,,,,0.691,3475,92442549,0.0000217973219236955
Egypt,EGY,2016,25,10795.8087418385,,,,0.696,3475,94447071,0.0000213452887279056
Egypt,EGY,2017,35,11014.4864791744,,,,0.698,3475,96442590,0.0000209139966066859
Egypt,EGY,2018,35,11366.3355206681,,,,0.701,3475,98423602,0.0000205032122274899
Egypt,EGY,2019,30,11763.2532849551,,,,0.707,3475,100388076,0.0000201119503475692
Estonia,EST,2014,5,30602.5954941753,73.3077621459961,26.23038,34.6,0.871,1780,1314545.0,0.00153208904982332
Estonia,EST,2015,5,31146.7545222679,72.1676177978516,27.04369,32.7,0.877,1780,1315407.0,0.00153184527678506
Estonia,EST,2016,5,32130.3008763844,71.3904495239258,27.11812,31.2,0.881,1780,1315790.0,0.00153215938713625
Estonia,EST,2017,5,33856.1811147559,69.0459213256836,,30.4,0.885,1780,1317384.0,0.00153106459468158
Estonia,EST,2018,5,35208.0239637019,70.3654327392578,,30.3,0.889,1780,1321977.0,0.00152650159571611
Estonia,EST,2019,5,36830.0747898819,74.2319869995117,,,0.892,1780,1326898.0,0.00152159397331219
Finland,FIN,2014,20,44976.7764487708,88.8816604614258,27.91297,26.8,0.928,1827,5461512.0,0.000368762350059837
Finland,FIN,2015,20,45072.5902146238,87.6798706054688,26.69626,27.1,0.930,1827,5479531.0,0.000367732201898301
Finland,FIN,2016,20,46206.7878130494,86.9785232543945,26.54204,27.1,0.932,1827,5495303.0,0.000366858751919594
Finland,FIN,2017,20,47570.133583848,88.1978302001953,,27.4,0.935,1827,5508214.0,0.00036618039894601
Finland,FIN,2018,25,48130.2923921114,90.2617568969727,,27.3,0.937,1827,5515525.0,0.000365876321836996
Finland,FIN,2019,25,48689.2341509211,92.9550094604492,,,0.938,1827,5521606.0,0.000365654485307354
France,FRA,2014,295,43021.3946358903,61.5104789733887,,32.3,0.893,365,66312067.0,0.0000303715461018581
France,FRA,2015,370,43345.7864281559,62.7859306335449,,32.7,0.895,365,66548272.0,0.0000302787726779743
France,FRA,2016,420,43705.1475593257,64.7276763916016,,31.9,0.894,365,66724104.0,0.000030213968852995
France,FRA,2017,515,44577.0645745394,65.8022308349609,,31.6,0.897,365,66918020.0,0.0000301413580377901
France,FRA,2018,570,45251.9054105957,67.5435180664063,,32.4,0.898,365,67101930.0,0.0000300736506386627
France,FRA,2019,630,45834.1669122703,68.3579025268555,,,0.901,365,67248926.0,0.0000300227843043917
Georgia,GEO,2014,5,12254.6456549529,42.2809181213379,,37.6,0.783,3619,3719414.0,0.000541483147614113
Georgia,GEO,2015,5,12605.1400698178,46.481128692627,,36.5,0.790,3619,3725276.0,0.000540899519928188
Georgia,GEO,2018,5,14253.4089858441,60.3344497680664,,36.4,0.805,3619,3726549.0,0.000541519781438537
Georgia,GEO,2019,5,14989.2581602038,63.9155006408691,,35.9,0.812,3619,3720161.0,0.000542718446862918
Germany,DEU,2014,165,50770.6134878236,65.50390625,26.58781,30.9,0.937,927,80982500.0,0.0000248695705862378
Germany,DEU,2015,185,51083.9216615196,67.7468719482422,25.94906,31.7,0.938,927,81686611.0,0.0000246674451949047
Germany,DEU,2016,200,51803.2354226767,69.5805892944336,25.98579,31.9,0.941,927,82348669.0,0.0000244812700008545
Germany,DEU,2017,235,52952.8750212389,70.2466506958008,,,0.943,927,82657002.0,0.0000244020464231209
Germany,DEU,2018,245,53463.4014817389,70.342643737793,,,0.946,927,82905782.0,0.0000243408837275065
Germany,DEU,2019,235,53639.26072156,73.5210571289063,,,0.947,927,83092962.0,0.0000242980867621496
Ghana,GHA,2018,5,5177.88398862782,15.6917695999146,,,0.606,5112,29767108.0,0.0000677929478402806
Ghana,GHA,2019,5,5396.86608780051,17.2329692840576,,,0.611,5112,30417858.0,0.0000663754824550762
Gibraltar,GIB,2014,5,,,,,,2929,33726.0,0.059716539168594
Gibraltar,GIB,2015,5,,,,,,2929,33742.0,0.0597178590480707
Gibraltar,GIB,2016,5,,,,,,2929,33738.0,0.059754579406011
Gibraltar,GIB,2017,5,,,,,,2929,33723.0,0.0598108116122528
Gibraltar,GIB,2019,5,,,,,,2929,33706.0,0.0599003144840681
Greece,GRC,2014,85,28178.6902062824,122.402000427246,,35.8,0.875,2342,10892413.0,0.000184899342322036
Greece,GRC,2015,90,28248.1259561464,,,36.0,0.877,2342,10820883.0,0.000186214008598004
Greece,GRC,2016,90,28226.9072784414,131.540863037109,,35.0,0.874,2342,10775971.0,0.000187082908816291
Greece,GRC,2017,90,28645.0436174422,136.602569580078,,34.4,0.879,2342,10754679.0,0.000187546276369569
Greece,GRC,2018,115,29150.6944922443,142.852035522461,,32.9,0.881,2342,10732882.0,0.000188020328556673
Greece,GRC,2019,95,29723.2219580446,148.530883789063,,,0.888,2342,10721582.0,0.000188311762200765
Hong Kong,HKG,2014,570,56359.2989916423,69.291748,29.23212,,0.926,9562,7229500,0.000278580814717477
Hong Kong,HKG,2015,590,57215.948033846,69.543808,29.5277,,0.93,9562,7291300,0.000276356753939627
Hong Kong,HKG,2016,615,58096.2992560876,72.3381271,30.43803,,0.936,9562,7336600,0.000274786685930813
Hong Kong,HKG,2017,690,59849.2481763342,74.3342514,28.4948,,0.941,9562,7391700,0.000272873628529296
Hong Kong,HKG,2018,700,61062.9476532626,76.9222336,29.3868,,0.946,9562,7451000,0.000270836129378607
Hong Kong,HKG,2019,760,59586.2040065092,80.9841003,,,0.949,9562,7507400,0.000268934651144204
Hungary,HUN,2014,65,26424.7204043413,52.015869140625,16.44862,30.9,0.838,1449,9866468.0,0.000204125731720814
Hungary,HUN,2015,90,27499.3244662857,48.9621391296387,14.33275,30.4,0.842,1449,9843028.0,0.000204713427615973
Hungary,HUN,2016,110,28170.8213622975,48.0388603210449,16.07903,30.3,0.844,1449,9814023.0,0.000205420345968213
Hungary,HUN,2017,120,29465.1262413898,48.5003814697266,,30.6,0.846,1449,9787966.0,0.000206069371307583
Hungary,HUN,2018,155,31095.557503677,50.3065299987793,,29.6,0.85,1449,9775564.0,0.000206433101967314
Hungary,HUN,2019,150,32553.5236997988,52.4446487426758,,,0.854,1449,9771141.0,0.000206628888069469
